Min	Avg	Max
-1	-3,28	-9
-1	-3,4	-8
-1	-3,34	-8
-1	-3,88	-11
-1	-4,2	-12
-1	-3,92	-10
-1	-3,5	-11
-1	-3,38	-9
-1	-3,1	-9
-1	-3,4	-11
-1	-3,42	-8
-1	-3	-9
-1	-2,78	-7
-1	-2,9	-7
-1	-2,5	-7
-1	-2,68	-7
-1	-3,2	-8
-1	-3,42	-9
-1	-3,4	-9
-1	-3,5	-15
-1	-3,62	-9
-1	-3,52	-11
-1	-3,14	-8
-1	-3,44	-13
-1	-3,3	-10
-1	-3,06	-9
-1	-3,54	-9
-1	-3,6	-8
-1	-3,46	-9
-1	-3,74	-11
-1	-3,64	-11
-1	-3,38	-9
-1	-3,38	-9
-1	-3,3	-11
-1	-3,32	-10
-1	-3,16	-9
-1	-3,2	-7
-1	-3,64	-10
-1	-3,06	-8
-1	-3,42	-10
-1	-3,64	-13
-1	-3,06	-7
-1	-3,46	-9
-1	-3,38	-9
-1	-2,96	-8
-1	-2,94	-10
-1	-2,58	-8
-1	-2,82	-7
-1	-2,86	-10
-1	-3,58	-10
-1	-2,98	-10
-1	-3,28	-9
-1	-3,7	-8
-1	-3,04	-9
-1	-2,9	-8
-1	-3,28	-9
-1	-3,08	-8
-1	-2,68	-11
-1	-2,86	-8
-1	-3,24	-11
-1	-3,3	-7
-1	-3,68	-9
-1	-3,14	-9
-1	-3,62	-12
-1	-3,04	-12
-1	-3	-10
-1	-3,26	-9
-1	-3,38	-9
-1	-3,44	-11
-1	-3,82	-11
-1	-3,64	-11
-1	-3,32	-9
-1	-2,8	-7
-1	-2,36	-7
-1	-2,82	-9
-1	-2,84	-8
-1	-3,06	-10
-1	-2,94	-9
-1	-2,98	-10
-1	-3,06	-7
-1	-2,98	-8
-1	-3,48	-9
-1	-3,48	-11
-1	-3,32	-12
-1	-3,42	-13
-1	-3,72	-10
-1	-4,06	-9
-1	-3,64	-10
-1	-3,42	-9
-1	-3,76	-11
-1	-4	-10
-1	-3,42	-7
-1	-3,22	-9
-1	-3,16	-9
-1	-2,98	-10
-1	-2,94	-9
-1	-3,16	-9
-1	-3,5	-11
-1	-3,48	-11
-1	-3,42	-9
-1	-3,28	-9
-1	-3,6	-9
-1	-3,28	-10
-1	-3,72	-10
-1	-2,8	-12
-1	-2,9	-8
-1	-3,2	-10
-1	-2,74	-10
-1	-2,72	-7
-1	-2,84	-8
-1	-2,72	-9
-1	-3,08	-9
-1	-3,22	-10
-1	-3,1	-9
-1	-2,98	-11
-1	-3,18	-11
-1	-3,22	-9
-1	-3,52	-9
-1	-3,58	-10
-1	-3,22	-9
-1	-3,26	-8
-1	-3,06	-9
-1	-3,22	-8
-1	-3,24	-7
-1	-3,22	-11
-1	-3,28	-10
-1	-3,26	-8
-1	-3,14	-11
-1	-3,18	-9
-1	-3,12	-8
-1	-3,24	-12
-1	-3,24	-10
-1	-3,24	-9
-1	-3,66	-9
-1	-3,32	-9
-1	-3,52	-9
-1	-3,5	-14
-1	-3,28	-8
-1	-3,42	-9
-1	-2,76	-7
-1	-3,04	-10
-1	-2,82	-8
-1	-3	-7
-1	-2,96	-6
-1	-3,18	-7
-1	-3,3	-9
-1	-3,32	-11
-1	-3,02	-6
-1	-3,6	-10
-1	-3,22	-11
-1	-3,12	-10
-1	-3,4	-9
-1	-2,88	-10
-1	-2,78	-9
-1	-2,86	-8
-1	-3,08	-8
-1	-3,4	-13
-1	-3,76	-13
-1	-4,1	-10
-1	-3,72	-13
-1	-3,62	-10
-1	-3,48	-10
-1	-4,04	-11
-1	-4,26	-10
-1	-4,14	-18
-1	-3,68	-9
-1	-3,52	-8
-1	-3,04	-9
-1	-3,52	-12
-1	-3,52	-12
-1	-3,48	-12
-1	-3,68	-12
-1	-3,86	-11
-1	-3,44	-10
-1	-3,4	-8
-1	-2,86	-7
-1	-3,04	-7
-1	-3,68	-10
-1	-3,64	-10
-1	-3,34	-9
-1	-3,22	-12
-1	-3,04	-8
-1	-2,96	-9
-1	-3,12	-7
-1	-3,12	-7
-1	-3,16	-8
-1	-2,9	-7
-1	-2,64	-7
-1	-2,74	-8
-1	-2,72	-9
-1	-2,62	-7
-1	-3,4	-9
-1	-3,16	-9
-1	-3,28	-10
-1	-2,84	-9
-1	-3,1	-11
-1	-3,38	-8
-1	-3,66	-10
-1	-3,28	-8
-1	-3,28	-9
-1	-3,08	-8
-1	-2,72	-7
-1	-2,8	-9
-1	-3,02	-9
-1	-3,1	-9
-1	-3,46	-9
-1	-3,68	-11
-1	-3,58	-9
-1	-3,56	-10
-1	-3,1	-7
-1	-3,08	-7
-1	-2,72	-7
-1	-2,48	-8
-1	-2,66	-8
-1	-2,76	-10
-1	-3,24	-8
-1	-3,62	-12
-1	-3,76	-11
-1	-3,52	-11
-1	-3,3	-13
-1	-3,82	-9
-1	-3,8	-9
-1	-3,14	-9
-1	-2,72	-7
